name,type,depends,markdown
Support Vector Machine (SVM),method,['Machine Learning'],
Skip-Gram with Negative-Sampling Training Method (SGNS),method,"['Bag of n-Grams', 'Probability']",
International Affective Picture System (IAPS),database,[],
Pointwise Mutual Information (PMI),method,['Probability'],
"Bojanowski, P., et al. (2016)",paper,"['Neural Network Language Model (NNLM)', 'Bag of n-Grams', 'Continuous Space Lanugage Model', 'Defined Corpus', 'Facebook fastText']",
SNOMED-CT,database,['Controlled Vocabulary'],
Probablistic Graphical Model (PGM),method,['Probability'],
The Computerized assessment of Affect from Natural Speech (CANS),protocol,"['International Affective Picture System (IAPS)', 'Self-Assessment Manikin (SAM)', 'Linguistic Inquiry and Word Count (LIWC)', 'Praat', 'E-Prime']",
Word2Vec,software,"['Apache Lucene', 'Pointwise Mutual Information (PMI)', 'TensorFlow', 'Bag of Words', 'Skip-Gram with Negative-Sampling Training Method (SGNS)']","#### [TensorFlow Word2Vec](https://www.tensorflow.org/tutorials/word2vec/)

[https://github.com/tensorflow/models/blob/master/tutorials/embedding/word2vec.py](https://github.com/tensorflow/models/blob/master/tutorials/embedding/word2vec.py)

Open-source, freely available, and actively maintained. (Python)

#### [DL4J Word2Vec](https://deeplearning4j.org/word2vec)

Open-source, freely available, and actively maintained. (Java)

Vectorizes words in a context-based 500-dimensional space."
Machine Learning,domain,['Probablistic Graphical Model (PGM)'],
ReVerb,software,['Controlled Vocabulary'],"#### Open Information Extraction Software

[http://reverb.cs.washington.edu/](http://reverb.cs.washington.edu/)

Open-source, academic-specific license. Last updated 2013 September. (Java)
"
"Widdows, D., et al. (2003)",paper,"['Unified Medical Language System (UMLS)', 'Word Sense Disambiguation (WSD)']",
Psycholinguistics,domain,['Medicine'],
Word Sense Disambiguation (WSD),method,['Computational Semantic Analysis'],
"Hutto, C. J. and Gilbert, E. E. (2014)",paper,"['Linguistic Inquiry and Word Count (LIWC)', 'Valence Aware Dictionary for sEntiment Reasoning (VADER)']",
